day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.0003442560136,0.0006000639796,3.93859375,3.93832251,0,3.938504076,3.939117854,3.939117854,0.6666387701,0.8563116768
1,2,6981,6981,390936,195468,0.0003201600015,0.0006015359759,3.834461182,3.834626953,0,3.834742382,3.835016833,3.835016833,0.6666580243,0.8881731023
1,3,13962,6981,390936,195468,0.0003435519934,13.21830762,3.764703125,3.764673584,0,3.764823747,3.765217518,3.765217518,0.8463982251,0.89661157
1,4,20943,6981,390936,195468,0.0003327679932,14.28422852,3.977937988,3.977970703,0,3.977969917,3.978462571,3.978462571,0.8482570821,0.8779013939
1,5,27924,6981,390936,195468,0.0003289920092,15.59018359,3.871238037,3.871259766,0,3.871259365,3.871658264,3.871658264,0.8576819632,0.8773624955
1,6,34905,6981,390936,195468,0.0003700799942,15.16665918,3.882280029,3.882313965,0,3.882337339,3.882746588,3.882746588,0.8551968265,0.8776185762
1,7,41886,6981,390936,195468,0.0003248000145,14.67334961,3.795073975,3.795227783,0,3.795254211,3.795629761,3.795629761,0.854346053,0.9038787078
1,8,48867,6981,390936,195468,0.0003286400139,14.15215039,3.861416992,3.861524658,0,3.861642896,3.861970026,3.861970026,0.8499451962,0.8872527371
1,9,55848,6981,390936,195468,0.0003362239897,15.07290332,3.891165283,3.891174316,0,3.891270399,3.891719519,3.891719519,0.8544980218,0.8796011353
1,10,62829,6981,390936,195468,0.000329535991,15.1336377,3.829223389,3.82909668,0,3.829125513,3.829717036,3.829717036,0.8561414804,0.9008845134
summary,0,0,0,0,0,0.003359008014,117.2926215,38.64609375,38.64619092,0,38.64692985,38.65125597,192.0081352,0.8342820604,0.8843942663
