day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.0003142719865,0.0006082559824,3.930910645,3.93107666,0,3.93133308,3.931683065,3.931683065,0.6666438792,0.8561374255
1,2,6981,6981,390936,195468,0.0003251520097,0.0006088640094,3.820037109,3.820071045,0,3.820178796,3.820559916,3.820559916,0.6666533237,0.8899722098
1,3,13962,6981,390936,195468,0.0003349120021,0.0007203840017,3.775411133,3.775528564,0,3.775689954,3.775970086,3.775970086,0.6666600366,0.896859135
1,4,20943,6981,390936,195468,0.0003358080089,0.0007207360268,3.972131836,3.972305908,0,3.972289527,3.972638479,3.972638479,0.6666629853,0.8854477902
1,5,27924,6981,390936,195468,0.0003712959886,0.0006615359783,3.862810547,3.862722168,0,3.862738687,3.863359475,3.863359475,0.6666443993,0.8715730942
1,6,34905,6981,390936,195468,0.0003503359854,0.0006119999886,3.852943115,3.853037354,0,3.853201584,3.853371401,3.853371401,0.6666675371,0.8820262989
1,7,41886,6981,390936,195468,0.0003280639946,0.000612160027,3.800715088,3.800893311,0,3.801062473,3.801262629,3.801262629,0.666661499,0.8999192978
1,8,48867,6981,390936,195468,0.000335168004,0.0006041600108,3.8517771,3.851943848,0,3.852188452,3.852424297,3.852424297,0.6666544325,0.8846461173
1,9,55848,6981,390936,195468,0.0003337279856,0.0006528319716,3.869690918,3.869799072,0,3.86998325,3.870129621,3.870129621,0.6666687033,0.8768314691
1,10,62829,6981,390936,195468,0.0003345279992,0.0006090559959,3.795042236,3.795223633,0,3.795298424,3.795549996,3.795549996,0.6666625065,0.9055321553
summary,0,0,0,0,0,0.003363263965,0.006409983993,38.53146973,38.53260156,0,38.53396423,38.53694896,116.9746197,0.6666579068,0.8847513241
