day,seg_idx,gpu_index,gpu_dev,chunks,zero_task_chunks,vv_only_chunks,mixed_chunks,vv_tasks,mixed_tasks,host_plan_wait_s,gpu_plan_build_s,sync_wait_s,run_wall_s,imbalance_ratio_run
1,1,0,0,382,0,0,382,242708868,1418267,6.996771096,6.977904436,0.011508867,7.017698283,1.197871817
1,1,1,1,382,0,0,382,172215027,1570274,5.110445287,5.096451997,0.016557653,5.139976126,1.197871817
1,1,2,2,382,0,0,382,226380049,1379551,6.395758716,6.376553831,0.010642338,6.416855173,1.197871817
1,1,3,3,382,0,0,382,270707720,872344,7.910873628,7.891760099,0.016533087,7.940359626,1.197871817
1,2,0,0,382,0,0,382,272613776,919622,7.835735762,7.839350451,0.015656417,7.860222292,1.181512415
1,2,1,1,382,0,0,382,210742390,1406254,6.251744535,6.255764389,0.010573817,6.271067711,1.181512415
1,2,2,2,382,0,0,382,210649985,1413875,5.999827568,5.99953942,0.012301168,6.021282892,1.181512415
1,2,3,3,382,0,0,382,217956381,1591171,6.429441407,6.431569404,0.016817523,6.458141279,1.181512415
1,3,0,0,382,0,0,382,270763239,908021,7.799146368,7.804044558,0.015355489,7.826656693,1.174272344
1,3,1,1,382,0,0,382,184071051,1823454,5.496762599,5.500127457,0.009336224,5.514714452,1.174272344
1,3,2,2,382,0,0,382,214427750,1309880,6.123849445,6.123878725,0.015051364,6.148016476,1.174272344
1,3,3,3,382,0,0,382,242585192,1505567,7.145850948,7.143660438,0.015766166,7.171060393,1.174272344
1,4,0,0,382,0,0,382,224232038,1614876,6.493277258,6.495103827,0.01112422,6.51620239,1.204021771
1,4,1,1,382,0,3,379,209599412,1615937,6.226675528,6.22907794,0.018402744,6.253579174,1.204021771
1,4,2,2,382,0,0,382,204823202,1637137,5.901981164,5.901401669,0.010252552,5.921305346,1.204021771
1,4,3,3,382,0,0,382,273059487,924908,8.021438636,8.021770561,0.015845589,8.048873674,1.204021771
1,5,0,0,382,0,0,382,263813757,1179051,7.621746993,7.621495229,0.015804911,7.646256195,1.160460426
1,5,1,1,382,0,0,382,151305942,2162580,4.554713552,4.557304603,0.009248794,4.572421135,1.160460426
1,5,2,2,382,0,0,382,234108338,1342698,6.755769879,6.755335919,0.013699052,6.778686779,1.160460426
1,5,3,3,382,0,0,382,262392720,1285612,7.736217415,7.732820727,0.016483368,7.763825323,1.160460426
1,6,0,0,382,0,0,382,268089756,1028085,7.736060181,7.737442316,0.015815611,7.760386112,1.158243538
1,6,1,1,382,0,0,382,172948983,2123093,5.18996729,5.177750629,0.008021141,5.206309358,1.158243538
1,6,2,2,382,0,0,382,219713902,1325528,6.365145405,6.364565337,0.016000726,6.390336357,1.158243538
1,6,3,3,382,0,0,382,250786125,1644573,7.416608979,7.411141851,0.015504767,7.44350143,1.158243538
1,7,0,0,382,0,0,382,271677647,995724,7.851916676,7.853493517,0.01537498,7.875809222,1.174537246
1,7,1,1,382,0,0,382,188199614,2037192,5.633939909,5.636338392,0.009782503,5.65202401,1.174537246
1,7,2,2,382,0,0,382,212907398,1552948,6.190069828,6.183943384,0.014617486,6.213816615,1.174537246
1,7,3,3,382,0,0,382,238672111,1687752,7.05345276,7.04814543,0.015892674,7.080178911,1.174537246
1,8,0,0,382,0,0,382,265051147,1104977,7.6561701,7.657962529,0.016475396,7.681242554,1.148800705
1,8,1,1,382,0,0,382,155765325,2472102,4.705616398,4.705748036,0.008214455,4.722170089,1.148800705
1,8,2,2,382,0,0,382,230481047,1370167,6.693773466,6.694188926,0.014662614,6.717449984,1.148800705
1,8,3,3,382,0,0,382,260031550,1566263,7.677082379,7.674423205,0.016159133,7.704147687,1.148800705
1,9,0,0,382,0,0,382,264355412,1235297,7.639606837,7.63996746,0.016110943,7.665353213,1.15442551
1,9,1,1,382,0,0,382,152384630,2498784,4.618612514,4.60556214,0.008985788,4.635939821,1.15442551
1,9,2,2,382,0,0,382,232964272,1492903,6.779796345,6.775943487,0.014642804,6.803644781,1.15442551
1,9,3,3,382,0,0,382,261523113,1475782,7.722876511,7.717478071,0.016338868,7.750711729,1.15442551
1,10,0,0,382,0,0,382,272731250,1061114,7.875987142,7.875591698,0.01551087,7.902054886,1.177013374
1,10,1,1,382,0,0,382,195994790,2094950,5.870433549,5.873036054,0.010429747,5.889292852,1.177013374
1,10,2,2,382,0,0,382,211374481,1821163,6.173383936,6.165462153,0.013699978,6.196198848,1.177013374
1,10,3,3,382,0,0,382,231066412,1834830,6.840194717,6.836481505,0.016170852,6.867050175,1.177013374
