day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.000465568006,0.0006123520136,3.931099121,3.931174805,0,15.18349717,15.18390966,15.18390966,0.3411719906,0.8570250951
1,2,6981,6981,390936,195468,0.0004673599899,0.0006183680296,3.829036133,3.829049561,0,15.02641353,15.02680836,15.02680836,0.3376054271,0.8893548583
1,3,13962,6981,390936,195468,0.0003441599905,0.0007058240175,3.776709717,3.776796631,0,14.91681985,14.91739319,14.91739319,0.3361602303,0.898028644
1,4,20943,6981,390936,195468,0.0003462400138,0.0006593599916,3.983195312,3.983231934,0,15.31600645,15.31635178,15.31635178,0.3421782934,0.8844575796
1,5,27924,6981,390936,195468,0.0003430080116,0.0006653119922,3.859408203,3.859453369,0,14.90850429,14.90900067,14.90900067,0.3411369043,0.8729900856
1,6,34905,6981,390936,195468,0.0003376320004,0.0006275519729,3.864274902,3.864395752,0,14.92593862,14.92615928,14.92615928,0.3411705666,0.8811626591
1,7,41886,6981,390936,195468,0.0003457919955,0.00065881598,3.788317627,3.788473389,0,14.95663213,14.95690292,14.95690292,0.3362643558,0.9037111935
1,8,48867,6981,390936,195468,0.000338304013,0.0006748480201,3.854095459,3.854195801,0,14.83862133,14.83902065,14.83902065,0.3418897678,0.8839803153
1,9,55848,6981,390936,195468,0.000329151988,0.0006396480203,3.872970703,3.873088623,0,14.89743765,14.89759121,14.89759121,0.342108957,0.8772841946
1,10,62829,6981,390936,195468,0.0003441599905,0.0006142719984,3.800132568,3.800278076,0,15.00053478,15.00083527,15.00083527,0.3363021377,0.904400356
summary,0,0,0,0,0,0.003661375999,0.006476352036,38.55923975,38.56013794,0,149.9704058,149.973973,149.9750877,0.3396123954,0.8850872098
