day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.000663680017,0.000676864028,3.935049805,3.934313477,0,3.934440794,3.935518888,3.935518888,0.6666267958,0.8559457013
1,2,6981,6981,390936,195468,0.0006277120113,0.0006141120195,3.82082959,3.820907471,0,3.821015242,3.821468411,3.821468411,0.6666547131,0.8884516877
1,3,13962,6981,390936,195468,0.0003724479973,9.627836914,3.776885742,3.776942139,0,3.777097486,3.777469909,3.777469909,0.8197697587,0.8990597457
1,4,20943,6981,390936,195468,0.0003915520012,10.39340527,3.975226318,3.975299072,0,3.975547616,3.975891036,3.975891036,0.8218676423,0.8840551746
1,5,27924,6981,390936,195468,0.000373984009,9.524929688,3.856559082,3.856661621,0,3.856876375,3.857226543,3.857226543,0.817153199,0.872384779
1,6,34905,6981,390936,195468,0.0003844479918,11.0015625,3.862140869,3.862247314,0,3.862448627,3.862622052,3.862622052,0.8290026549,0.8804422425
1,7,41886,6981,390936,195468,0.0003756479919,10.65090039,3.780279297,3.780368408,0,3.780324647,3.780618627,3.780618627,0.8280931281,0.9042702498
1,8,48867,6981,390936,195468,0.0003881599903,10.29701074,3.849947021,3.849821289,0,3.849670756,3.850137254,3.850137254,0.8237668417,0.8829569933
1,9,55848,6981,390936,195468,0.0003655999899,10.93456445,3.862406006,3.862501465,0,3.862381795,3.862640568,3.862640568,0.82849645,0.8788351475
1,10,62829,6981,390936,195468,0.0003769280016,10.97736816,3.806748779,3.806914551,0,3.806806924,3.806994849,3.806994849,0.8300313311,0.9017856759
summary,0,0,0,0,0,0.004320160002,83.4088691,38.52607251,38.52597681,0,38.52661026,38.53058814,149.8578133,0.8063710229,0.8846630712
