day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.0003278720081,0.0006041600108,3.930175537,3.930083252,0,3.930294481,3.93086413,3.93086413,0.6666353704,0.8564109272
1,2,6981,6981,390936,195468,0.0003233279884,0.0006252800226,3.816654785,3.816674072,0,3.816732273,3.817208009,3.817208009,0.666648785,0.8893123676
1,3,13962,6981,390936,195468,0.0003807039857,0.0007345600128,3.775466553,3.775327881,0,3.775550319,3.776313734,3.776313734,0.6666230798,0.8959816897
1,4,20943,6981,390936,195468,0.0003321279883,0.0006711040139,3.974724609,3.974462891,0,3.97445543,3.975275505,3.975275505,0.6666336719,0.8852118661
1,5,27924,6981,390936,195468,0.0003671039939,0.000830911994,3.862807617,3.86288623,0,3.862846041,3.863218981,3.863218981,0.6666689952,0.8709644635
1,6,34905,6981,390936,195468,0.0003275839984,0.000664575994,3.850876709,3.850853027,0,3.851014923,3.851342738,3.851342738,0.6666582597,0.8820728634
1,7,41886,6981,390936,195468,0.0003276799917,0.0008876159787,3.776017334,3.776079346,0,3.775985161,3.776530813,3.776530813,0.6666579782,0.9031477218
1,8,48867,6981,390936,195468,0.0003338240087,0.0007567999959,3.847685059,3.847784668,0,3.848135464,3.848368769,3.848368769,0.6666548144,0.8834539024
1,9,55848,6981,390936,195468,0.0003272640109,0.0008324480057,3.860270996,3.860356445,0,3.860475727,3.86065349,3.86065349,0.6666753699,0.8787640869
1,10,62829,6981,390936,195468,0.0003255999982,0.0006081920266,3.801020508,3.801206543,0,3.801312861,3.801487258,3.801487258,0.6666670154,0.9050416437
summary,0,0,0,0,0,0.003373087972,0.007215648055,38.49569971,38.49571436,0,38.49680268,38.50126343,116.9311775,0.6666522804,0.8848856193
