day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.000347104013,0.0006062719822,3.928972168,3.929124756,0,3.929293049,3.929797834,3.929797834,0.666636972,0.8573049766
1,2,6981,6981,390936,195468,0.0003519040048,0.00062262398,3.819883789,3.820030518,0,3.820159143,3.820401383,3.820401383,0.6666621246,0.8903152092
1,3,13962,6981,390936,195468,0.0003362239897,0.0007249600291,3.778216797,3.778337158,0,3.77849291,3.778637143,3.778637143,0.6666724482,0.8972645509
1,4,20943,6981,390936,195468,0.0003397119939,0.0006116160154,3.975243896,3.975337891,0,3.975562688,3.975685092,3.975685092,0.6666677993,0.8850818902
1,5,27924,6981,390936,195468,0.0003329280019,0.0006205440164,3.84545166,3.845595215,0,3.84588609,3.845998618,3.845998618,0.6666635056,0.8761626109
1,6,34905,6981,390936,195468,0.0003351039886,0.0007088639736,3.860821045,3.860846191,0,3.861043104,3.861259151,3.861259151,0.6666660007,0.8813934088
1,7,41886,6981,390936,195468,0.0003250879943,0.0006174399853,3.774820313,3.775016113,0,3.775183761,3.775324523,3.775324523,0.6666663472,0.9064393231
1,8,48867,6981,390936,195468,0.000344096005,0.0006091840267,3.859189697,3.859302734,0,3.85950465,3.859652294,3.859652294,0.666666479,0.8825945337
1,9,55848,6981,390936,195468,0.0003386560082,0.0006104959846,3.871685547,3.871805176,0,3.872052266,3.872194072,3.872194072,0.666664082,0.8776625281
1,10,62829,6981,390936,195468,0.0003415359855,0.0006104639769,3.787533447,3.78772998,0,3.787937619,3.788056889,3.788056889,0.6666661498,0.9075256175
summary,0,0,0,0,0,0.003392351985,0.00634246397,38.50181836,38.50312573,0,38.50511528,38.507007,106.6330143,0.6666631267,0.8860077603
