day,seg_idx,gpu_index,gpu_dev,chunks,zero_task_chunks,vv_only_chunks,mixed_chunks,vv_tasks,mixed_tasks,host_plan_wait_s,gpu_plan_build_s,sync_wait_s,run_wall_s,imbalance_ratio_run
1,1,0,0,382,0,0,382,229814685,1222431,6.611779007,6.597838043,0.013788658,6.634808767,1.020496216
1,1,1,1,382,0,0,382,227957764,1324011,6.73973678,6.726035026,0.014039055,6.765457618,1.020496216
1,1,2,2,382,0,0,382,227984532,1302174,6.435755685,6.421561028,0.013421729,6.46147511,1.020496216
1,1,3,3,382,0,0,382,226254683,1391820,6.632056031,6.617084762,0.013768799,6.656564069,1.020496216
1,2,0,0,382,0,0,382,225921096,1419866,6.534443529,6.536967564,0.013567326,6.556595282,1.01895567
1,2,1,1,382,0,0,382,227970291,1331053,6.749209874,6.753599687,0.01409451,6.775481527,1.01895567
1,2,2,2,382,0,0,382,227954202,1340396,6.480242476,6.482307211,0.013519522,6.503104553,1.01895567
1,2,3,3,382,0,0,382,230116943,1239607,6.75622178,6.758051841,0.014016492,6.779895999,1.01895567
1,3,0,0,382,0,0,382,226211948,1467727,6.546696138,6.549794178,0.013642635,6.568632417,1.018147983
1,3,1,1,382,0,0,382,227941796,1381323,6.76855077,6.753745559,0.014177093,6.794776285,1.018147983
1,3,2,2,382,0,0,382,227915842,1398898,6.516696508,6.51925921,0.013701895,6.539584925,1.018147983
1,3,3,3,382,0,0,382,229777646,1298974,6.768140121,6.769166645,0.014034153,6.791657432,1.018147983
1,4,0,0,382,0,0,382,230077182,1337275,6.645376501,6.648157822,0.01371095,6.667487305,1.019108515
1,4,1,1,382,0,0,382,227890019,1455873,6.793435673,6.778230397,0.014195526,6.819307708,1.019108515
1,4,2,2,382,0,0,382,227894970,1456198,6.564752941,6.567487255,0.013649112,6.58761939,1.019108515
1,4,3,3,382,0,0,382,225851968,1543512,6.668009154,6.670203586,0.013864069,6.69136218,1.019108515
1,5,0,0,382,0,0,382,227783945,1487163,6.589000999,6.58990115,0.013788484,6.611351507,1.016341179
1,5,1,1,382,0,0,382,227863778,1504514,6.786499243,6.786328048,0.014164186,6.812580285,1.016341179
1,5,2,2,382,0,0,382,227847540,1497617,6.602758888,6.604527534,0.013687429,6.62566316,1.016341179
1,5,3,3,382,0,0,382,228125494,1480647,6.739245338,6.739727892,0.013903182,6.762583588,1.016341179
1,6,0,0,382,0,0,382,226583939,1590678,6.56593535,6.565459335,0.013808563,6.588395982,1.016150044
1,6,1,1,382,0,0,382,227865047,1541841,6.794545798,6.776393182,0.014157847,6.820667157,1.016150044
1,6,2,2,382,0,0,382,227844177,1512693,6.622350764,6.622701939,0.013763475,6.645614994,1.016150044
1,6,3,3,382,0,0,382,229245603,1476067,6.770695007,6.770877115,0.013893311,6.794377074,1.016150044
1,7,0,0,382,0,0,382,225982165,1660713,6.551862969,6.551599085,0.013726476,6.574051497,1.016171339
1,7,1,1,382,0,0,382,227848517,1567850,6.80118956,6.784892173,0.014162329,6.827219543,1.016171339
1,7,2,2,382,0,0,382,227818153,1569438,6.633483349,6.632711164,0.013749956,6.656563971,1.016171339
1,7,3,3,382,0,0,382,229807935,1475615,6.792892748,6.791142113,0.013932113,6.816449982,1.016171339
1,8,0,0,382,0,0,382,227194514,1631614,6.584320311,6.586009699,0.013843023,6.606559969,1.015733646
1,8,1,1,382,0,0,382,227784299,1647592,6.802942081,6.789740071,0.014153133,6.828880477,1.015733646
1,8,2,2,382,0,0,382,227776833,1625668,6.645335174,6.646198917,0.01387731,6.66842619,1.015733646
1,8,3,3,382,0,0,382,228573423,1608635,6.765152121,6.766779709,0.013920244,6.788539667,1.015733646
1,9,0,0,382,0,0,382,227525043,1661372,6.599358626,6.600308517,0.013826737,6.621475797,1.015866085
1,9,1,1,382,0,0,382,227750509,1690700,6.80967868,6.789387517,0.014157859,6.834807916,1.015866085
1,9,2,2,382,0,0,382,227752511,1679316,6.654724021,6.655299263,0.014119506,6.677985055,1.015866085
1,9,3,3,382,0,0,382,228199364,1671378,6.754629931,6.755616844,0.01389691,6.777971014,1.015866085
1,10,0,0,382,0,0,382,225738966,1799838,6.553654134,6.553459488,0.013674133,6.575729053,1.01613115
1,10,1,1,382,0,0,382,227759612,1713347,6.811179439,6.81042889,0.014161121,6.83774065,1.01613115
1,10,2,2,382,0,0,382,227754857,1703996,6.658288821,6.659917461,0.013970477,6.681472308,1.01613115
1,10,3,3,382,0,0,382,229913498,1594876,6.798288745,6.796413089,0.014087395,6.821822219,1.01613115
