day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.0003937920034,0.0006072319746,4.656100098,4.656153809,0,4.656194046,4.656579658,4.656579658,0.6666597469,0.7880443639
1,2,6981,6981,390936,195468,0.0003864639997,0.0006013439894,4.026665039,4.02668335,0,4.026507108,4.026985641,4.026985641,0.6666635317,0.9182743273
1,3,13962,6981,390936,195468,0.0003928959966,11.96417676,4.574777344,4.574894043,0,4.574837242,4.575006184,4.575006184,0.8219085117,0.8129147257
1,4,20943,6981,390936,195468,0.0004043520093,12.92671387,4.776632324,4.776718262,0,4.776760007,4.777005223,4.777005223,0.8247435476,0.8026473536
1,5,27924,6981,390936,195468,0.0003862720132,14.27987988,4.584693848,4.586963379,0,4.586953879,4.587201154,4.587201154,0.8363985437,0.8028166417
1,6,34905,6981,390936,195468,0.0003915520012,13.60149023,4.519702637,4.521393066,0,4.521467988,4.521629761,4.521629761,0.8335460312,0.8118534237
1,7,41886,6981,390936,195468,0.0003823040128,13.30194629,4.416913574,4.417414551,0,4.419336106,4.419584865,4.419584865,0.8335748584,0.8339300395
1,8,48867,6981,390936,195468,0.0004044800103,10.77739063,4.430663574,4.430708496,0,4.432568597,4.433006041,4.433006041,0.8158418619,0.8246845465
1,9,55848,6981,390936,195468,0.0003852480054,11.6121582,4.651210938,4.65338916,0,4.654356863,4.654541546,4.654541546,0.8179793336,0.7996479779
1,10,62829,6981,390936,195468,0.0004002560079,13.67471387,4.314935547,4.316938477,0,4.318739605,4.319163062,4.319163062,0.8377823471,0.8611438366
summary,0,0,0,0,0,0.00392761606,102.1396783,44.95229492,44.96125659,0,44.96772144,44.97070314,178.0030891,0.8102701145,0.8240305559
