day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.0003248960078,0.0006071360111,4.805157715,4.805276855,0,4.806724757,4.807342508,4.807342508,0.6665756661,0.7742463822
1,2,6981,6981,390936,195468,0.000332415998,0.0005925440192,4.045284424,4.04719043,0,4.047575461,4.048457799,4.048457799,0.6665459152,0.9111872517
1,3,13962,6981,390936,195468,0.0003430719972,0.0006093760133,4.677605469,4.679663574,0,4.679731395,4.680142952,4.680142952,0.6666078744,0.7985242365
1,4,20943,6981,390936,195468,0.0003408640027,0.0006200640202,4.849876953,4.85151123,0,4.85306871,4.85385475,4.85385475,0.6665259074,0.7935369278
1,5,27924,6981,390936,195468,0.0003412480056,0.0006385279894,4.558151855,4.558157715,0,4.560243543,4.560799461,4.560799461,0.6665480904,0.805021762
1,6,34905,6981,390936,195468,0.0003482879996,0.0006025599837,4.655856445,4.655915039,0,4.657740866,4.658313983,4.658313983,0.6665598043,0.7986388242
1,7,41886,6981,390936,195468,0.0003687039912,0.0006171519756,4.495818848,4.497752441,0,4.499893559,4.500322064,4.500322064,0.6665057243,0.8249184871
1,8,48867,6981,390936,195468,0.0003568640053,0.0006039360166,4.63345752,4.635423828,0,4.637481957,4.638041546,4.638041546,0.6665036702,0.7994298011
1,9,55848,6981,390936,195468,0.0003631680012,0.0006046079993,4.643641602,4.644338867,0,4.645461587,4.646052834,4.646052834,0.6665769925,0.7980526889
1,10,62829,6981,390936,195468,0.0003303039968,0.0006164159775,4.373343262,4.374655273,0,4.376819456,4.377398896,4.377398896,0.6665033244,0.8534383472
summary,0,0,0,0,0,0.003449824005,0.006112320006,45.73819409,45.74988525,0,45.76474129,45.77072679,178.6664728,0.6665457362,0.813957413
