day,seg_idx,t0,tlen,segN,segN_half,T_gen,T_bcast,T_viss_kernel,T_reduce,T_phase,T_output_stage,T_stage1_total,T_wall,overlap_efficiency,multi_gpu_scaling_efficiency
1,1,0,6981,390936,195468,0.0006554239988,0.001229823947,7.179804687,7.181304227,0.002885618,0.000223456,7.187610273,7.187610273,0.4996826798,0.9184909591
1,2,6981,6981,390936,195468,0.0006083199978,0.001262591958,6.936145508,6.937126905,0.002868596,0.000295172,6.942310696,6.942310696,0.4997725119,0.9693558906
1,3,13962,6981,390936,195468,0.0006499840021,26.60536523,6.942847168,6.943939027,0.00315928,0.000238174,6.948993493,6.948993493,0.8284038086,0.9740125696
1,4,20943,6981,390936,195468,0.0006461439729,27.90215039,7.169122559,7.170465949,0.00298172,0.000222334,7.175715253,7.175715253,0.8301428526,0.9315346242
1,5,27924,6981,390936,195468,0.0006328639984,28.80390039,7.356938477,7.35838825,0.002962064,0.000352196,7.363709507,7.363709507,0.8308094564,0.9113585907
1,6,34905,6981,390936,195468,0.000633664012,29.61055078,7.146036621,7.147205652,0.00302718,0.000215337,7.155229122,7.155229122,0.8370391951,0.9503309274
1,7,41886,6981,390936,195468,0.0006362559795,28.48398828,6.859312988,6.86013642,0.003030329,0.000212471,6.866062222,6.866062222,0.8373253087,0.9839106248
1,8,48867,6981,390936,195468,0.0006378880143,27.67221875,7.32549707,7.326594763,0.003112796,0.000228677,7.331652925,7.331652925,0.8267907129,0.9227247204
1,9,55848,6981,390936,195468,0.000627744019,29.35246484,7.365739746,7.366556395,0.003017558,0.000209247,7.37179094,7.37179094,0.8327960438,0.9213329966
1,10,62829,6981,390936,195468,0.000639967978,29.52932422,6.76479834,6.765455712,0.003168296,0.000236684,6.770618498,6.770618498,0.8427763855,0.9971205344
summary,0,0,0,0,0,0.006368255973,227.9624553,71.04624316,71.0571733,0.030213437,0.002433748,358.0137074,0.03266960321,0.9471968927
