Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
56.4,3409276108,100,34092761.1,34076740.5,32827541,35596919,683242.4,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
26.6,1608530525,3900,412443.7,421951.0,71136,469823,58004.2,"void recon_3d_direct_tasklist_mixed_real<(int)256, (int)128>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, int, float, const int *, int, float *)"
14.7,891406969,3900,228565.9,231743.0,39872,259903,31238.6,"void recon_3d_direct_tasklist_vv_real<(int)256, (int)128>(long long, const float *, const float *, const float *, int, const float *, const float *, const float *, const float2 *, int, int, const int *, int, float *)"
1.2,74773372,3900,19172.7,16736.0,10912,28352,3962.9,"void build_recon_task_flags_chunk_kernel<(int)128>(int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, float, unsigned char *, unsigned char *)"
0.8,46966161,7800,6021.3,2367.0,1633,28223,5823.5,"void cub::CUB_200302_520_NS::DeviceSelectSweepKernel<cub::CUB_200302_520_NS::detail::device_select_policy_hub<int, unsigned char, int, (bool)0, (bool)0>::Policy900, cub::CUB_200302_520_NS::CountingInputIterator<int, long>, unsigned char *, int *, int *, cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, cub::CUB_200302_520_NS::NullType, cub::CUB_200302_520_NS::NullType, int, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int)"
0.2,15114991,7800,1937.8,896.0,736,20416,2660.1,"void cub::CUB_200302_520_NS::DeviceCompactInitKernel<cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,961117,50,19222.3,9984.5,9952,229632,43364.0,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,265824,50,5316.5,5280.0,5247,5632,95.9,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,208693,200,1043.5,1056.0,991,1184,28.6,"normalize3_inplace_kernel(float *, float *, float *, int)"
0.0,137672,100,1376.7,1376.0,1280,1440,36.4,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,104256,100,1042.6,1055.0,992,1312,42.2,"apply_pair_weight_to_viss_half_kernel(float2 *, const float *, int)"
0.0,84736,4,21184.0,21200.0,20960,21376,207.4,"void build_tile_cone_meta_kernel<(int)256>(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,80287,50,1605.7,1600.0,1536,1825,59.6,"k_compute_uvw_xyz_half(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,65344,50,1306.9,1311.0,1280,1632,52.7,"reduce_phase_halfsym_fused_kernel(const float2 *, int, int, const float *, int, float2 *)"
0.0,59295,6,9882.5,9824.0,9600,10175,219.0,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,12097,6,2016.2,1968.5,1952,2144,88.1,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,9888,2,4944.0,4944.0,4928,4960,22.6,"build_nm1_kernel(const float *, float *, long long)"
0.0,9792,6,1632.0,1616.0,1600,1696,40.5,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,6785,6,1130.8,1072.5,1056,1408,138.2,"k_norm3(const float *, const float *, const float *, float *, int)"
