Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
49.0,3399193874,100,33991938.7,33994151.0,32783608,35533825,663621.8,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
25.7,1780030640,3900,456418.1,466771.0,81021,521362,63621.6,"void recon_3d_direct_tasklist_mixed_real<(int)256, (int)128>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, int, float, const int *, int, float *)"
23.5,1627847885,3900,417396.9,423700.0,71391,475795,57359.1,"void recon_3d_direct_tasklist_vv_real<(int)256, (int)128>(long long, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float2 *, int, int, const int *, int, float *)"
1.2,80254012,3900,20578.0,16864.0,10911,30399,4905.9,"void build_recon_task_flags_chunk_kernel<(int)128>(int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, float, unsigned char *, unsigned char *)"
0.5,37522954,7800,4810.6,3808.0,1727,19872,3139.7,"void cub::CUB_200302_520_NS::DeviceSelectSweepKernel<cub::CUB_200302_520_NS::detail::device_select_policy_hub<int, unsigned char, int, (bool)0, (bool)0>::Policy900, cub::CUB_200302_520_NS::CountingInputIterator<int, long>, unsigned char *, int *, int *, cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, cub::CUB_200302_520_NS::NullType, cub::CUB_200302_520_NS::NullType, int, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int)"
0.2,10538258,7800,1351.1,897.0,736,5696,792.3,"void cub::CUB_200302_520_NS::DeviceCompactInitKernel<cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,960516,50,19210.3,9984.0,9919,229561,43315.7,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,265142,50,5302.8,5280.0,5247,5600,87.0,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,208030,200,1040.2,1055.0,991,1184,27.0,"normalize3_inplace_kernel(float *, float *, float *, int)"
0.0,137854,100,1378.5,1376.0,1280,1472,40.1,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,84477,4,21119.3,21135.0,21024,21183,78.0,"void build_tile_cone_meta_kernel<(int)256>(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,79707,50,1594.1,1584.0,1535,1728,43.3,"k_compute_uvw_xyz_half(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,65216,50,1304.3,1311.5,1279,1600,46.9,"reduce_phase_halfsym_fused_kernel(const float2 *, int, int, const float *, int, float2 *)"
0.0,59357,6,9892.8,9791.0,9568,10303,284.2,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,12063,6,2010.5,1984.0,1919,2112,82.2,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,9920,2,4960.0,4960.0,4928,4992,45.3,"build_nm1_kernel(const float *, float *, long long)"
0.0,9823,6,1637.2,1616.0,1600,1696,46.9,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,6752,6,1125.3,1072.0,1024,1376,130.2,"k_norm3(const float *, const float *, const float *, float *, int)"
