Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.4,3401602633,100,34016026.3,34008741.0,32787102,35540177,659306.3,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
40.8,2552043456,3900,654370.1,663756.5,112834,741549,89210.3,"void recon_3d_direct_planaware_tileowned_real<(int)256, (int)128>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, int, float, const unsigned char *, const unsigned char *, const int *, int, float *)"
3.3,205651299,3900,52731.1,16832.0,11072,149123,46406.0,"void build_recon_task_flags_chunk_kernel<(int)128>(int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, float, unsigned char *, unsigned char *)"
1.3,80709684,3900,20694.8,18496.0,1088,87169,20292.6,"build_active_tile_flags_from_recon_task_flags_kernel(int, int, const unsigned char *, const unsigned char *, unsigned char *)"
0.1,8154108,3900,2090.8,1856.0,1664,63393,2168.3,"void cub::CUB_200302_520_NS::DeviceSelectSweepKernel<cub::CUB_200302_520_NS::detail::device_select_policy_hub<int, unsigned char, int, (bool)0, (bool)0>::Policy900, cub::CUB_200302_520_NS::CountingInputIterator<int, long>, unsigned char *, int *, int *, cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, cub::CUB_200302_520_NS::NullType, cub::CUB_200302_520_NS::NullType, int, (bool)0>(T2, T3, T4, T5, T6, T7, T8, T9, int)"
0.1,3389409,3900,869.1,832.0,736,19009,526.6,"void cub::CUB_200302_520_NS::DeviceCompactInitKernel<cub::CUB_200302_520_NS::ScanTileState<int, (bool)1>, int *>(T1, int, T2)"
0.0,959510,50,19190.2,9984.0,9920,229508,43256.5,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,264933,50,5298.7,5280.0,5216,5568,91.9,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,208207,200,1041.0,1040.0,991,1185,32.9,"normalize3_inplace_kernel(float *, float *, float *, int)"
0.0,139393,100,1393.9,1376.0,1312,1824,55.6,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,104193,100,1041.9,1056.0,991,1247,35.5,"apply_pair_weight_to_viss_half_kernel(float2 *, const float *, int)"
0.0,84417,4,21104.3,21104.0,21056,21153,41.7,"void build_tile_cone_meta_kernel<(int)256>(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,80036,50,1600.7,1600.0,1536,1760,43.2,"k_compute_uvw_xyz_half(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,66723,50,1334.5,1312.0,1311,1601,55.8,"reduce_phase_halfsym_fused_kernel(const float2 *, int, int, const float *, int, float2 *)"
0.0,59712,6,9952.0,9824.0,9632,10464,316.1,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,12355,6,2059.2,2049.0,2016,2112,43.4,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,9920,2,4960.0,4960.0,4960,4960,0.0,"build_nm1_kernel(const float *, float *, long long)"
0.0,9759,6,1626.5,1632.0,1567,1664,37.7,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,6721,6,1120.2,1088.0,1024,1376,128.0,"k_norm3(const float *, const float *, const float *, float *, int)"
