Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
73.7,2862242768128,100,28622427681.3,28608371884.0,25551596059,31751880380,2230171052.0,"void recon_3d_direct_halfsym_tilecone_real<(int)256, (int)64, (bool)1>(long long, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float2 *, int, float, float *)"
26.3,1019436868792,100,10194368687.9,10453148597.0,8467431625,12048188532,963596479.0,"void viss_partial_all_halfsym_tilecone<(int)256, (bool)1>(const float *, const float *, const float *, const float *, long long, const float *, const float *, const float *, const float *, const float *, int, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, const float *, int, float, float2 *)"
0.0,29199848,2,14599924.0,14599924.0,14551007,14648841,69179.1,"pix2lmn_ring_kernel(int, unsigned int, int, float *, float *, float *)"
0.0,26615607,200,133078.0,5472.0,2304,567119,161090.0,"invnorm3_kernel(const float *, const float *, const float *, float *, int)"
0.0,7864476,100,78644.8,2272.0,1344,334376,94350.2,"build_sat_raw_from_pos(const float *, float *, float *, float *, int)"
0.0,2792862,2,1396431.0,1396431.0,1389185,1403677,10247.4,"build_tile_cone_meta_kernel(const float *, const float *, const float *, long long, float *, float *, float *, float *, float *, int)"
0.0,473486,100,4734.9,4736.0,4384,5120,141.3,"compute_pair_weight_half_kernel(const float *, const float *, const float *, int, const float *, int, float *)"
0.0,442669,50,8853.4,8768.0,8576,9792,253.3,"k_compute_uvw_xyz(const float *, int, float, float *, float *, float *, float *, float *, float *, float *, float *, float *)"
0.0,417033,5,83406.6,83393.0,82850,84002,408.3,"k_compute_other_sats(float *, float *, float *, const float *, const float *, const float *, const float *, const float *, const float *, int, int, int, int)"
0.0,368043,50,7360.9,6144.0,5568,55778,7119.7,"k_gather_pos_range(const float *, const float *, const float *, float *, const int *, int, int, int, int, int)"
0.0,59169,5,11833.8,11776.0,11680,12033,145.9,"k_compute_sat1_xyz(float *, float *, float *, int, int, int)"
0.0,31009,5,6201.8,6209.0,6112,6272,61.6,"k_diff_sat1(const float *, const float *, const float *, float *, float *, float *, int, int)"
0.0,11136,5,2227.2,2208.0,2207,2273,29.2,"k_norm3(const float *, const float *, const float *, float *, int)"
